"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTGS","ATGS","HTGC","ATGC","HTP","ATP","HTS","ATS","HTST","ATST","HM1","HM2","HM3","HM4","HM5","AM1","AM2","AM3","AM4","AM5","IWH","IWD","IWA","HomeTeamLP","AwayTeamLP","HomeAvgAge","AwayAvgAge","HomeAvgMV","AwayAvgMV","MW","Distance","HTWinStreak3","HTWinStreak5","HTLossStreak3","HTLossStreak5","ATWinStreak3","ATWinStreak5","ATLossStreak3","ATLossStreak5","HTGD","ATGD","DiffPts","DiffFormPts","DiffLP"
"1",2006-08-11,"BayernMunich","Dortmund",2,0,"H",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0",1.55,3.7,5,4,9,25.6,23.1,5.18,2.3,1,472,0,0,0,0,0,0,0,0,0,0,0,0,-5
"2",2006-08-12,"Hamburg","Bielefeld",1,1,"D",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0",1.4,4,6.5,7,12,23.9,25.7,2.99,0.917,1,196,0,0,0,0,0,0,0,0,0,0,0,0,-5
"3",2006-08-12,"Leverkusen","Aachen",3,0,"H",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0",1.45,3.9,6,5,17,24.1,24.9,2.03,0.829,1,69,0,0,0,0,0,0,0,0,0,0,0,0,-12
"4",2006-08-12,"Mainz","Bochum",2,1,"H",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0",2,3.2,3.3,16,8,24.6,26.4,0.978,0.896,1,181,0,0,0,0,0,0,0,0,0,0,0,0,8
"5",2006-08-12,"M'gladbach","Cottbus",2,0,"H",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0",1.6,3.6,4.8,18,13,23.7,25.4,1.24,0.526,1,556,0,0,0,0,0,0,0,0,0,0,0,0,5
"6",2006-08-12,"Schalke04","EinFrankfurt",1,1,"D",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0",1.5,3.8,5.5,2,14,23.9,24.5,2.71,1.61,1,199,0,0,0,0,0,0,0,0,0,0,0,0,-12
"7",2006-08-12,"Stuttgart","Nurnberg",0,3,"A",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0",1.8,3.2,4,1,6,24.7,24.5,1.94,1.43,1,155,0,0,0,0,0,0,0,0,0,0,0,0,-5
"8",2006-08-13,"Hannover","WerderBremen",2,4,"A",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0",3.6,3.2,1.9,11,3,25.2,23.9,1.17,3.51,1,99,0,0,0,0,0,0,0,0,0,0,0,0,8
"9",2006-08-13,"Wolfsburg","Hertha",0,0,"D",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0",2.4,3.1,2.7,15,10,26,24.2,1.92,1.74,1,165,0,0,0,0,0,0,0,0,0,0,0,0,5
"10",2006-08-18,"Nurnberg","M'gladbach",1,0,"H",3,2,0,0,1.5,1.5,5.5,6.5,4,4,"3","0","0","0","0","3","0","0","0","0",1.9,3.2,3.6,6,18,24.5,23.7,1.43,1.24,2,389,0,0,0,0,0,0,0,0,1.5,1,0,0,-12
"11",2006-08-19,"Aachen","Schalke04",0,1,"A",0,1,3,1,0,0.5,4,12,2.5,6.5,"0","0","0","0","0","1","0","0","0","0",3.8,3.2,1.85,17,2,24.9,23.9,0.829,2.71,2,109,0,0,0,0,0,0,0,0,-1.5,0,-0.5,-0.5,15
"12",2006-08-19,"Cottbus","Hamburg",2,2,"D",0,1,2,1,0,0.5,5.5,13,3.5,9.5,"0","0","0","0","0","1","0","0","0","0",3.8,3.2,1.85,13,7,25.4,23.9,0.526,2.99,2,363,0,0,0,0,0,0,0,0,-1,0,-0.5,-0.5,6
"13",2006-08-19,"Dortmund","Mainz",1,1,"D",0,2,2,1,0,1.5,8,5.5,3.5,2.5,"0","0","0","0","0","3","0","0","0","0",1.55,3.7,5,9,16,23.1,24.6,2.3,0.978,2,176,0,0,0,0,0,0,0,0,-1,0.5,-1.5,-1.5,-7
"14",2006-08-19,"EinFrankfurt","Wolfsburg",0,0,"D",1,0,1,0,0.5,0.5,4,13,2.5,7.5,"1","0","0","0","0","1","0","0","0","0",2,3.2,3.3,14,15,24.5,26,1.61,1.92,2,303,0,0,0,0,0,0,0,0,0,0,0,0,-1
"15",2006-08-19,"Hertha","Hannover",4,0,"H",0,2,0,4,0.5,0,5,7,2,3,"1","0","0","0","0","0","0","0","0","0",1.8,3.2,4,10,11,24.2,25.2,1.74,1.17,2,239,0,0,0,0,0,0,0,0,0,-1,0.5,0.5,-1
"16",2006-08-19,"WerderBremen","Leverkusen",2,1,"H",4,3,2,0,1.5,1.5,7.5,10,4,5.5,"3","0","0","0","0","3","0","0","0","0",1.6,3.6,4.8,3,5,23.9,24.1,3.51,2.03,2,258,0,0,0,0,0,0,0,0,1,1.5,0,0,-2
"17",2006-08-20,"Bielefeld","Stuttgart",2,3,"A",1,0,1,3,0.5,0,5,5,2.5,4,"1","0","0","0","0","0","0","0","0","0",2.5,3.1,2.6,12,1,25.7,24.7,0.917,1.94,2,364,0,0,0,0,0,0,0,0,0,-1.5,0.5,0.5,11
"18",2006-08-20,"Bochum","BayernMunich",1,2,"A",1,2,2,0,0,1.5,9.5,6,4.5,4.5,"0","0","0","0","0","3","0","0","0","0",4.8,3.6,1.6,8,4,26.4,25.6,0.896,5.18,2,481,0,0,0,0,0,0,0,0,-0.5,1,-1.5,-1.5,4
"19",2006-08-25,"Schalke04","WerderBremen",2,0,"H",2,6,1,3,1.33333333333333,2,11.6666666666667,11.3333333333333,6.66666666666667,6,"3","4","0","0","0","3","6","0","0","0",2.4,3.2,2.6,2,3,23.9,23.9,2.71,3.51,3,207,0,0,0,0,0,0,0,0,0.333333333333333,1,-0.666666666666667,-0.666666666666667,-1
"20",2006-08-26,"BayernMunich","Nurnberg",0,0,"D",4,4,1,0,2,2,11,7.33333333333333,7.33333333333333,5,"3","6","0","0","0","3","6","0","0","0",1.35,4.2,7.5,4,6,25.6,24.5,5.18,1.43,3,139,0,0,0,0,0,0,0,0,1,1.33333333333333,0,0,-2
"21",2006-08-26,"Bochum","Cottbus",0,1,"A",2,2,4,4,0,0.333333333333333,8.33333333333333,9.33333333333333,4.33333333333333,5.66666666666667,"0","0","0","0","0","1","1","0","0","0",1.85,3.2,3.8,8,13,26.4,25.4,0.896,0.526,3,492,0,0,0,0,0,0,0,0,-0.666666666666667,-0.666666666666667,-0.333333333333333,-0.333333333333333,-5
"22",2006-08-26,"Hannover","Aachen",0,3,"A",2,0,8,4,0,0,6.33333333333333,6.66666666666667,2.33333333333333,4,"0","0","0","0","0","0","0","0","0","0",1.7,3.4,4.3,11,17,25.2,24.9,1.17,0.829,3,306,0,0,0,0,0,0,0,0,-2,-1.33333333333333,0,0,-6
"23",2006-08-26,"Leverkusen","Wolfsburg",1,1,"D",4,0,2,0,1,0.666666666666667,13.6666666666667,11.3333333333333,6.66666666666667,6.66666666666667,"0","3","0","0","0","1","2","0","0","0",1.55,3.7,5,5,15,24.1,26,2.03,1.92,3,305,0,0,0,0,0,0,0,0,0.666666666666667,0,0.333333333333333,0.333333333333333,-10
"24",2006-08-26,"M'gladbach","Bielefeld",1,0,"H",2,3,1,4,1,0.333333333333333,8,8.33333333333333,4.66666666666667,4.66666666666667,"0","3","0","0","0","0","1","0","0","0",1.75,3.3,4.2,18,12,23.7,25.7,1.24,0.917,3,176,0,0,0,0,0,0,0,0,0.333333333333333,-0.333333333333333,0.666666666666667,0.666666666666667,6
"25",2006-08-26,"Stuttgart","Dortmund",1,3,"A",3,1,5,3,1,0.333333333333333,7.66666666666667,11,5.66666666666667,5.66666666666667,"3","3","0","0","0","1","1","0","0","0",2.2,3.1,3,1,9,24.7,23.1,1.94,2.3,3,326,0,0,0,0,0,0,0,0,-0.666666666666667,-0.666666666666667,0.666666666666667,0.666666666666667,-8
"26",2006-08-27,"Hamburg","Hertha",1,1,"D",3,4,3,0,0.666666666666667,1.33333333333333,13.6666666666667,7,10.3333333333333,4.33333333333333,"1","2","0","0","0","3","4","0","0","0",1.7,3.4,4.3,7,10,23.9,24.2,2.99,1.74,3,253,0,0,0,0,0,0,0,0,0,1.33333333333333,-0.666666666666667,-0.666666666666667,-3
"27",2006-08-27,"Mainz","EinFrankfurt",1,1,"D",3,1,2,1,1.33333333333333,0.666666666666667,5.66666666666667,9,3,4.66666666666667,"1","4","0","0","0","1","2","0","0","0",2.2,3.1,3,16,14,24.6,24.5,0.978,1.61,3,32,0,0,0,0,0,0,0,0,0.333333333333333,0,0.666666666666667,0.666666666666667,2
"28",2006-09-15,"Wolfsburg","Hannover",1,2,"A",1,2,1,11,0.75,0,12.25,6.75,6.25,2.75,"1","2","3","0","0","0","0","0","0","0",1.9,3.2,3.6,15,11,26,25.2,1.92,1.17,4,73,0,0,0,0,0,0,1,0,0,-2.25,0.75,0.75,4
"29",2006-09-16,"Aachen","M'gladbach",4,2,"H",3,3,4,1,0.75,1.5,6.25,8.25,3.75,4.75,"3","3","3","0","0","3","3","6","0","0",2.4,3.1,2.7,17,18,24.9,23.7,0.829,1.24,4,47,0,0,0,0,0,0,0,0,-0.25,0.5,-0.75,-0.75,-1
"30",2006-09-16,"Bielefeld","BayernMunich",2,1,"H",3,4,5,1,0.25,1.75,8.25,13,4.25,8,"0","0","1","0","0","1","4","7","0","0",4.8,3.6,1.6,12,4,25.7,25.6,0.917,5.18,4,479,0,0,0,0,0,0,0,0,-0.5,0.75,-1.5,-1.5,8
"31",2006-09-16,"Cottbus","Mainz",2,0,"H",3,4,4,3,1,1.25,10,7.5,5.5,4.25,"3","4","4","0","0","1","2","5","0","0",2.3,3.1,2.8,13,16,25.4,24.6,0.526,0.978,4,473,0,0,0,0,0,0,0,0,-0.25,0.25,-0.25,-0.25,-3
"32",2006-09-16,"Dortmund","Hamburg",1,0,"H",4,4,4,4,1,0.75,10.5,17.5,5.25,10.5,"3","4","4","0","0","1","2","3","0","0",2.3,3.1,2.8,9,7,23.1,23.9,2.3,2.99,4,286,0,0,0,0,0,0,0,0,0,0,0.25,0.25,2
"33",2006-09-16,"Nurnberg","Bochum",1,1,"D",4,2,0,5,1.75,0,7.75,11.5,4.25,5.25,"1","4","7","0","0","0","0","0","0","0",1.65,3.5,4.5,6,8,24.5,26.4,1.43,0.896,4,359,0,0,0,0,0,0,1,0,1,-0.75,1.75,1.75,-2
"34",2006-09-16,"WerderBremen","Stuttgart",2,3,"A",6,4,5,8,1.5,0.75,10.5,11.25,6,7.5,"0","3","6","0","0","0","3","3","0","0",1.55,3.7,5,3,1,23.9,24.7,3.51,1.94,4,477,0,0,0,0,0,0,0,0,0.25,-1,0.75,0.75,2
"35",2006-09-17,"EinFrankfurt","Leverkusen",3,1,"H",2,5,2,3,0.75,1,9.25,14.5,4.5,7.25,"1","2","3","0","0","1","1","4","0","0",2.7,3.1,2.4,14,5,24.5,24.1,1.61,2.03,4,159,0,0,0,0,0,0,0,0,0,0.5,-0.25,-0.25,9
"36",2006-09-17,"Hertha","Schalke04",2,0,"H",5,4,1,1,1.25,1.75,8.5,11.75,6.25,7.25,"1","4","5","0","0","3","6","7","0","0",2.55,3.1,2.55,10,2,24.2,23.9,1.74,2.71,4,436,0,0,0,0,0,0,0,0,1,0.75,-0.5,-0.5,8
"37",2006-09-22,"M'gladbach","Dortmund",1,0,"H",5,5,5,4,1.2,1.4,9,12.2,5.2,5.6,"0","3","3","6","0","3","6","7","7","0",2.4,3.1,2.7,18,9,23.7,23.1,1.24,2.3,5,82,0,0,0,0,0,0,0,0,0,0.2,-0.2,-0.2,9
"38",2006-09-23,"BayernMunich","Aachen",2,1,"H",5,7,3,6,1.4,1.2,13.4,7.8,8.2,4.8,"0","1","4","7","0","3","6","6","6","0",1.22,5,10,4,17,25.6,24.9,5.18,0.829,5,492,0,0,0,0,0,0,0,0,0.4,0.2,0.2,0.2,-13
"39",2006-09-23,"Hamburg","WerderBremen",1,1,"D",4,8,5,8,0.6,1.2,17,11.8,10.4,6.6,"0","1","2","3","0","0","0","3","6","0",2.6,3,2.6,7,3,23.9,23.9,2.99,3.51,5,91,0,0,0,0,0,0,0,0,-0.2,0,-0.6,-0.6,4
"40",2006-09-23,"Hannover","Leverkusen",1,1,"D",4,6,12,6,0.6,0.8,7.6,15.4,3.2,8.2,"3","3","3","3","0","0","1","1","4","0",2.5,3.2,2.5,11,5,25.2,24.1,1.17,2.03,5,239,0,0,0,0,0,0,0,0,-1.6,0,-0.2,-0.2,6
"41",2006-09-23,"Mainz","Hertha",1,1,"D",4,7,5,1,1,1.6,7,8.8,3.8,6,"0","1","2","5","0","3","4","7","8","0",2.4,3.1,2.7,16,10,24.6,24.2,0.978,1.74,5,449,0,0,0,0,0,0,0,0,-0.2,1.2,-0.6,-0.6,6
"42",2006-09-23,"Schalke04","Wolfsburg",2,0,"H",4,2,3,3,1.4,0.6,12.2,11.6,7.4,5.6,"0","3","6","7","0","0","1","2","3","0",1.5,3.8,5.5,2,15,23.9,26,2.71,1.92,5,274,0,0,0,0,0,0,0,0,0.2,-0.2,0.8,0.8,-13
"43",2006-09-23,"Stuttgart","EinFrankfurt",1,1,"D",7,5,10,3,1.2,1.2,13.2,10.6,8.4,5.2,"3","3","6","6","0","3","4","5","6","0",1.85,3.2,3.8,1,14,24.7,24.5,1.94,1.61,5,148,0,0,0,0,0,0,0,0,-0.6,0.4,0,0,-13
"44",2006-09-24,"Bochum","Bielefeld",2,1,"H",3,5,6,6,0.2,0.8,10,8.8,5,4.6,"1","1","1","1","0","3","3","3","4","0",2.1,3.1,3.2,8,12,26.4,25.7,0.896,0.917,5,107,0,0,0,0,0,0,0,0,-0.6,-0.2,-0.6,-0.6,-4
"45",2006-09-24,"Cottbus","Nurnberg",1,1,"D",5,5,4,1,1.4,1.6,10,10.6,5.6,6,"3","6","7","7","0","1","2","5","8","0",2.4,3.1,2.7,13,6,25.4,24.5,0.526,1.43,5,345,0,0,0,0,0,0,0,0,0.2,0.8,-0.2,-0.2,7
"46",2006-09-29,"Dortmund","Hannover",2,2,"D",5,5,5,13,1.16666666666667,0.666666666666667,11.5,9,5.16666666666667,4,"0","3","6","7","7","1","4","4","4","4",1.65,3.5,4.5,9,11,23.1,25.2,2.3,1.17,6,184,0,0,0,0,0,0,0,0,0,-1.33333333333333,0.5,0.5,-2
"47",2006-09-30,"Aachen","Bochum",2,1,"H",8,5,8,7,1,0.666666666666667,7.5,10.5,4.83333333333333,5.33333333333333,"0","3","6","6","6","3","4","4","4","4",2,3.2,3.3,17,8,24.9,26.4,0.829,0.896,6,111,0,0,0,0,0,0,0,0,0,-0.333333333333333,0.333333333333333,0.333333333333333,9
"48",2006-09-30,"Bielefeld","Cottbus",3,1,"H",6,6,8,5,0.666666666666667,1.33333333333333,10.1666666666667,10.3333333333333,5.83333333333333,5.5,"0","3","3","3","4","1","4","7","8","8",2.1,3.1,3.2,12,13,25.7,25.4,0.917,0.526,6,401,0,0,0,0,0,0,0,0,-0.333333333333333,0.166666666666667,-0.666666666666667,-0.666666666666667,-1
"49",2006-09-30,"EinFrankfurt","Hamburg",2,2,"D",6,5,4,6,1.16666666666667,0.666666666666667,10.8333333333333,15.8333333333333,5.16666666666667,9.33333333333333,"1","4","5","6","7","1","1","2","3","4",2.55,3.1,2.55,14,7,24.5,23.9,1.61,2.99,6,401,0,0,0,0,0,0,0,0,0.333333333333333,-0.166666666666667,0.5,0.5,7
"50",2006-09-30,"Nurnberg","Mainz",1,1,"D",6,5,2,6,1.5,1,11.8333333333333,8.66666666666667,7,5,"1","2","3","6","9","1","1","2","3","6",1.75,3.3,4.2,6,16,24.5,24.6,1.43,0.978,6,218,0,0,0,0,0,0,0,0,0.666666666666667,-0.166666666666667,0.5,0.5,-10
"51",2006-09-30,"WerderBremen","M'gladbach",3,0,"H",9,6,9,5,1.16666666666667,1.5,12.1666666666667,9,6.66666666666667,5.16666666666667,"1","1","1","4","7","3","3","6","6","9",1.45,3.9,6,3,18,23.9,23.7,3.51,1.24,6,269,0,0,0,0,0,0,0,0,0,0.166666666666667,-0.333333333333333,-0.333333333333333,-15
"52",2006-09-30,"Wolfsburg","BayernMunich",1,0,"H",2,7,5,4,0.5,1.66666666666667,11.3333333333333,14.6666666666667,5.5,9,"0","0","1","2","3","3","3","4","7","10",4.5,3.5,1.65,15,4,26,25.6,1.92,5.18,6,473,0,0,0,0,0,0,0,0,-0.5,0.5,-1.16666666666667,-0.666666666666667,11
"53",2006-10-01,"Hertha","Stuttgart",2,2,"D",8,8,2,11,1.5,1.16666666666667,9.33333333333333,14.5,6.5,8.66666666666667,"1","4","5","8","9","1","4","4","7","7",2,3.2,3.3,10,1,24.2,24.7,1.74,1.94,6,502,0,0,0,0,0,0,0,0,1,-0.5,0.333333333333333,0.333333333333333,9
"54",2006-10-01,"Leverkusen","Schalke04",3,1,"H",7,6,7,3,0.833333333333333,1.66666666666667,14.8333333333333,14,7.83333333333333,8.16666666666667,"1","1","2","2","5","3","3","6","9","10",2.4,3.1,2.7,5,2,24.1,23.9,2.03,2.71,6,58,0,0,0,0,0,0,0,0,0,0.5,-0.833333333333333,-0.666666666666667,3
"55",2006-10-13,"Mainz","Aachen",1,3,"A",6,10,7,9,1,1.28571428571429,9,8.14285714285714,5.28571428571429,5.28571428571429,"1","2","2","3","4","3","3","6","9","9",2,3.2,3.3,16,17,24.6,24.9,0.978,0.829,7,176,0,0,0,0,0,0,0,0,-0.142857142857143,0.142857142857143,-0.285714285714286,-0.714285714285714,-1
