"match_date","hometeam","awayteam","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11"
"2000-08-11","Dortmund","HansaRostock","Jens Lehmann","Evanilson","Jürgen Kohler","Jörg Heinrich","Christoph Metzelder","Miroslav Stevic","Sunday Oliseh","Sead Kapetanovic","Heiko Herrlich","Giuseppe Reina","Victor Ikpeba","Martin Pieckenhagen","Andreas Jakobsson","René Schneider","Marco Zallmann","Mohamed Emara","René Rydlewicz","Marcus Lantz","Christian Brand","Peter Wibrån","Victor Agali","Steffen Baumgart"
"2000-08-12","Leverkusen","Wolfsburg","Pascal Zuberbühler","Robert Kovac","Jens Nowotny","Boris Živkovic","Jörg Reeb","Michael Ballack","Vratislav Greško","Carsten Ramelow","Ulf Kirsten","Paulo Rink","Oliver Neuville","Claus Reitmaier","Brian ONeil","Waldemar Kryger","Thomas Hengen","Marcel Maltritz","Martin Wagner","Krzysztof Nowak","Dorinel Munteanu","Dietmar Kühbauer","Zoltán Sebescen","Andrzej Juskowiak"
"2000-08-12","WerderBremen","Cottbus","Frank Rost","Frank Baumann","Frank Verlaat","Viktor Skripnik","Razundara Tjikuzu","Raphaël Wicky","Dieter Eilts","Marco Bode","Andreas Herzog","Paul Stalteri","Claudio Pizarro","Tomislav Piplica","Christian Beeck","Tzanko Tzvetanov","János Mátyus","Kevin McKenna","Laurentiu Reghecampf","Moussa Latoundji","Vasile Miriuta","Ronny Thielemann","Antun Labak","Franklin Bittencourt"
"2000-08-12","BayernMunich","Hertha","Oliver Kahn","Willy Sagnol","Patrik Andersson","Ciriaco Sforza","Thomas Linke","Michael Wiesinger","Mehmet Scholl","Thorsten Fink","Michael Tarnat","Carsten Jancker","Roque Santa Cruz","Gábor Király","Dick van Burik","Eyjólfur Sverrisson","Marko Rehmer","Dariusz Wosz","Andreas Schmidt","Michael Hartmann","Stefan Beinlich","René Tretschok","Sebastian Deisler","Michael Preetz"
"2000-08-13","Schalke04","FCKoln","Oliver Reck","Nico Van Kerckhoven","Tomasz Hajto","Tomasz Waldoch","Radoslav Látal","Andreas Möller","Jörg Böhme","Niels Oude Kamphuis","Jirí Nemec","Ebbe Sand","Émile Mpenza","Markus Pröll","Carsten Cullmann","Alexander Voigt","Jens Keller","Ralf Hauptmann","Christian Springer","Dirk Lottner","Archil Arveladze","Markus Kurth","Christian Timm","Miroslav Baránek"
"2000-08-12","Kaiserslautern","Bochum","Georg Koch","Murat Yakin","Michael Schjønberg","Hany Ramzy","Harry Koch","Marian Hristov","Youri Djorkaeff","Jeff Strasser","Mario Basler","Vratislav Lokvenc","Marco Reich","Rein van Duijnhoven","Martin Meichelbeck","Mirko Dickhaut","Michael Bemben","Peter Peschel","Sebastian Schindzielorz","Yildiray Bastürk","Thomas Stickroth","Zoran Mamic","Achim Weber","Delron Buckley"
"2000-08-12","Freiburg","Stuttgart","Richard Golz","Daniel Schumann","Boubacar Diarra","Andreas Zeyer","Sebastian Kehl","Zoubaïer Baya","Björn Dreyer","Levan Kobiashvili","Marco Weißhaupt","Aleksandr Iashvili","Abder Ramdane","Timo Hildebrand","Bordon","Thomas Schneider","Pablo Thiam","Krassimir Balakov","Bradley Carnell","Zvonimir Soldo","Krisztián Lisztes","Roberto Pinto","Ahmed Hosny","Sean Dundee"
"2000-08-12","Hamburg","Munich 1860","Hans Jörg Butt","Andrej Panadic","Ingo Hertzsch","Nico Jan Hoogma","Martin Groth","Niko Kovac","Bernd Hollerbach","Marcel Ketelaer","Sergej Barbarez","Tony Yeboah","Roy Präger","Michael Hofmann","Martin Stranzl","Stephan Paßlack","Ned Zelic","Marco Kurz","Thomas Häßler","Harald Cerny","Erik Mykland","Daniel Bierofka","Martin Max","Paul Agostino"
"2000-08-13","EinFrankfurt","Unterhaching","Dirk Heinen","Torsten Kracht","Jens Rasiejewski","Petar Hubchev","Markus Lösch","Thomas Sobotzik","Horst Heldt","Gerd Wimmer","Rolf-Christel Guié-Mien","Thomas Reichenberger","Saša Ciric","Jürgen Wittmann","Alexander Strehmel","Dennis Grassow","Oliver Straube","Matthias Zimmermann","Markus Oberleitner","Danny Schwarz","Marco Haber","Francisco Copado","Dietmar Hirsch","Altin Rraklli"
"2000-08-18","Cottbus","Dortmund","Tomislav Piplica","Christian Beeck","Rudi Vata","János Mátyus","Bruno Akrapovic","Toni Micevski","Steffen Heidrich","Moussa Latoundji","Vasile Miriuta","Ronny Thielemann","Antun Labak","Jens Lehmann","Evanilson","Jürgen Kohler","Jörg Heinrich","Dédé","Christoph Metzelder","Miroslav Stevic","Sunday Oliseh","Otto Addo","Heiko Herrlich","Victor Ikpeba"
"2000-08-19","Unterhaching","Freiburg","Jürgen Wittmann","Alexander Strehmel","Jan Seifert","Dennis Grassow","Björn Hertl","Oliver Straube","Matthias Zimmermann","Markus Oberleitner","Danny Schwarz","Altin Rraklli","André Breitenreiter","Richard Golz","Daniel Schumann","Boubacar Diarra","Andreas Zeyer","Sebastian Kehl","Zoubaïer Baya","Björn Dreyer","Levan Kobiashvili","Marco Weißhaupt","Aleksandr Iashvili","Abder Ramdane"
"2000-08-19","Bochum","BayernMunich","Rein van Duijnhoven","Martin Meichelbeck","Mirko Dickhaut","Michael Bemben","Peter Peschel","Sebastian Schindzielorz","Yildiray Bastürk","Thomas Stickroth","Zoran Mamic","Achim Weber","Delron Buckley","Oliver Kahn","Willy Sagnol","Patrik Andersson","Ciriaco Sforza","Thomas Linke","Mehmet Scholl","Thorsten Fink","Michael Tarnat","Hasan Salihamidžic","Carsten Jancker","Alexander Zickler"
"2000-08-19","Stuttgart","Leverkusen","Timo Hildebrand","Thomas Schneider","Jochen Endress","Pablo Thiam","Krassimir Balakov","Heiko Gerber","Bradley Carnell","Zvonimir Soldo","Krisztián Lisztes","Roberto Pinto","Sean Dundee","Pascal Zuberbühler","Robert Kovac","Jens Nowotny","Boris Živkovic","Jörg Reeb","Michael Ballack","Vratislav Greško","Carsten Ramelow","Ulf Kirsten","Paulo Rink","Oliver Neuville"
"2000-08-20","FCKoln","EinFrankfurt","Markus Pröll","Alexander Voigt","Moses Sichone","Jens Keller","Thomas Cichon","Ralf Hauptmann","Christian Springer","Dirk Lottner","Matthias Scherz","Archil Arveladze","Christian Timm","Dirk Heinen","Torsten Kracht","Jens Rasiejewski","Petar Hubchev","Alexander Kutschera","Marco Gebhardt","Markus Lösch","Thomas Sobotzik","Horst Heldt","Rolf-Christel Guié-Mien","Saša Ciric"
