"","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Dortmund",25,25,24.3,25.3,23.5,22.9,23.1,24.6,24.3,23,23.8,23.8,23.3,23.7,23.7,23.9,24,25.7
"BayernMunich",25.5,25.7,25.8,25.1,26.6,26.8,25.6,24.8,26.3,25.1,24.7,25.1,24.5,24.1,24.6,24.9,25.1,26.5
"Freiburg",23.9,23.7,0,24.5,24.8,0,0,0,0,23.8,24.3,24.2,23.1,22.9,24.1,0,24,25.6
"Hamburg",27,26.4,26.3,24.9,24.1,24.1,23.9,23,24.8,24,24.9,23.1,24.4,24.1,24.2,24.8,23.6,24.7
"Kaiserslautern",26.4,25.6,26.2,25.9,25.7,25.4,0,0,0,0,23.9,23.2,0,0,0,0,0,0
"Leverkusen",23.7,23.6,24,24.4,23.8,23.5,24.1,23.4,24.5,23.6,24.1,23.3,22.8,23.5,23.9,23.2,22.8,24.9
"WerderBremen",25.4,25.2,23.8,24.7,24.3,24.1,23.9,23.9,23.4,23.4,24,23.3,22.5,22.8,22.9,23.6,24.5,25.9
"EinFrankfurt",25.4,0,0,26,0,25.3,24.5,24.3,24.7,24.6,24.2,0,24.4,23.7,24.1,23.9,23.1,25.2
"Schalke04",26.6,26.4,25.3,25.2,24.8,24.3,23.9,25.7,25,23.3,24.2,23.9,24.3,24.1,23,23.9,23.7,25.7
"Cottbus",26.4,26.6,27.2,0,0,0,25.4,25.1,26.4,0,0,0,0,0,0,0,0,0
"Munich1860",25.5,27.1,27.1,24.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bochum",26.4,0,25.6,27,25.8,0,26.4,25.6,26.4,25.6,0,0,0,0,0,0,0,0
"Hertha",25.9,25.1,25.2,25.2,25.3,24.7,24.2,23.5,23.9,24.2,0,23.5,0,25,25.3,24.3,24,25.3
"Stuttgart",24.3,24.3,25,23.9,24.6,25.6,24.7,24,24.5,24.2,24.3,24.3,24.6,24.4,23.7,23.8,0,24.5
"Unterhaching",26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wolfsburg",25.9,26.1,25.7,24.6,26.3,26.5,26,24.6,23.9,24.9,24.8,24.9,25,24.2,24.9,24.5,23.5,24.3
"FCKoln",24.7,25.2,0,25,0,25.7,0,0,25.5,23.8,24.2,24.2,0,0,24.4,24,24.4,25.4
"HansaRostock",27.6,27.3,26.5,26.4,26.5,0,0,25,0,0,0,0,0,0,0,0,0,0
"M'gladbach",0,25.9,25.2,25.8,26.2,26.4,23.7,0,25.2,24.5,24.8,23.4,23.7,24,24.9,24.4,23.4,25.4
"StPauli",0,25.2,0,0,0,0,0,0,0,0,25.8,0,0,0,0,0,0,0
"Nurnberg",0,25.3,24.9,0,24.6,24.2,24.5,24.9,0,23.9,23.5,23.2,23.4,23.4,0,0,0,0
"Bielefeld",0,0,26.3,0,24.9,25.7,25.7,25.9,25.8,0,0,0,0,0,0,0,0,0
"Hannover",0,0,25.9,24.9,25.3,24.7,25.2,27.1,26,25.1,25.1,24.7,24.9,24.2,24.6,23.5,0,25.8
"Mainz",0,0,0,0,26.6,25.1,24.6,0,0,25,25.9,24.7,25.5,25.7,23.9,24.3,23.3,25.1
"Duisburg",0,0,0,0,0,26.6,0,25.5,0,0,0,0,0,0,0,0,0,0
"Aachen",0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,0,0
"Karlsruhe",0,0,0,0,0,0,0,24.5,25.8,0,0,0,0,0,0,0,0,0
"Hoffenheim",0,0,0,0,0,0,0,0,22.8,22.3,22.8,23,22.8,22.7,23.4,23.8,23.5,24.6
"Augsburg",0,0,0,0,0,0,0,0,0,0,0,25.2,25.4,24.1,24.6,24.9,25.3,26.2
"GreutherFurth",0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0,0
"FortunaDusseldorf",0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0
"Braunschweig",0,0,0,0,0,0,0,0,0,0,0,0,0,25.2,0,0,0,0
"Paderborn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.2,0,0,0
"Darmstadt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3,25.7,0
"Ingolstadt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.2,23.8,0
"RBLeipzig",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6,24.4
