;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Dortmund;NA;NA;NA;NA;NA;1.9;2.3;2.22;2.42;2.13;3.33;5.09;7.07;8.28;8.02;9.35;9.04;13.62
BayernMunich;NA;NA;NA;NA;NA;6.17;5.18;7.17;9.35;8.79;8.26;12.59;13.09;14.52;15.39;16.11;16.24;20.72
Freiburg;NA;NA;0;NA;NA;0;0;0;0;0.888;1.2;1.52;1.32;1.76;1.71;0;1.01;2.17
Hamburg;NA;NA;NA;NA;NA;2.07;2.99;2.51;3.31;3.75;3.97;2.58;3.56;3.05;2.72;1.9;2.25;2.21
Kaiserslautern;NA;NA;NA;NA;NA;0.653;0;0;0;0;1.12;1.25;0;0;0;0;0;0
Leverkusen;NA;NA;NA;NA;NA;2.2;2.03;2.03;3.38;3.27;4.4;4.69;3.26;3.87;5.77;5.48;5.64;7.92
WerderBremen;NA;NA;NA;NA;NA;3.02;3.51;4;3.77;3.17;3.47;2.97;2.23;1.76;1.46;1.37;1.65;2.39
EinFrankfurt;NA;0;0;NA;0;0.743;1.61;1.48;1.89;1.55;1.64;0;1.49;2.32;2.22;2.25;1.7;2.15
Schalke04;NA;NA;NA;NA;NA;2.47;2.71;3.21;3.97;2.55;3.49;3.33;5.5;5.1;5.33;5.89;5.51;6.27
Cottbus;NA;NA;NA;0;0;0;0.526;0.531;0.78;0;0;0;0;0;0;0;0;0
Munich1860;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bochum;NA;0;NA;NA;NA;0;0.896;1.17;1.37;1.25;0;0;0;0;0;0;0;0
Hertha;NA;NA;NA;NA;NA;2.09;1.74;1.41;2.17;2.08;0;1.51;0;1.29;2.29;1.93;2.07;2.98
Stuttgart;NA;NA;NA;NA;NA;2.39;1.94;3.07;3.11;3.31;2.91;2.87;2.87;2.84;2.94;2.19;0;2.37
Unterhaching;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wolfsburg;NA;NA;NA;NA;NA;1.86;1.92;1.44;2.45;4.53;5.58;2.5;3.19;3.46;5.28;6.83;4.72;4.47
FCKoln;NA;NA;0;NA;0;1.22;0;0;1.06;1.97;1.48;2.01;0;0;1.44;1.87;2.32;3.67
HansaRostock;NA;NA;NA;NA;NA;0;0;0.77;0;0;0;0;0;0;0;0;0;0
M'gladbach;0;NA;NA;NA;NA;1.41;1.24;0;1.25;1.37;1.83;1.9;2.7;3.05;3.58;4.33;4.25;4.93
StPauli;0;NA;0;0;0;0;0;0;0;0;0.897;0;0;0;0;0;0;0
Nurnberg;0;NA;NA;0;NA;1.05;1.43;2.06;0;1.18;1.1;1.3;1.28;1.37;0;0;0;0
Bielefeld;0;0;NA;0;NA;0.63;0.917;0.958;1;0;0;0;0;0;0;0;0;0
Hannover;0;0;NA;NA;NA;1.37;1.17;1.98;2.1;1.54;1.43;2;2.48;2.15;2.01;1.7;0;1.62
Mainz;0;0;0;0;NA;0.456;0.978;0;0;0.888;1.46;1.65;1.48;1.32;1.92;1.56;1.98;2.19
Duisburg;0;0;0;0;0;0.653;0;0.818;0;0;0;0;0;0;0;0;0;0
Aachen;0;0;0;0;0;0;0.829;0;0;0;0;0;0;0;0;0;0;0
Karlsruhe;0;0;0;0;0;0;0;0.917;1.3;0;0;0;0;0;0;0;0;0
Hoffenheim;0;0;0;0;0;0;0;0;1.24;2.47;2.6;2.48;1.82;1.61;3;3.23;2.09;4.02
Augsburg;0;0;0;0;0;0;0;0;0;0;0;0.984;1.36;1.15;1.09;1.44;1.68;1.67
GreutherFurth;0;0;0;0;0;0;0;0;0;0;0;0;0.829;0;0;0;0;0
FortunaDusseldorf;0;0;0;0;0;0;0;0;0;0;0;0;0.84;0;0;0;0;0
Braunschweig;0;0;0;0;0;0;0;0;0;0;0;0;0;0.833;0;0;0;0
Paderborn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.722;0;0;0
Darmstadt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.594;0.758;0
Ingolstadt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.756;1.03;0
RBLeipzig;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.89;9.24
