"","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Dortmund",NA,NA,NA,NA,NA,60.93,71.37,73.22,84.76,72.41,103.19,142.38,204.91,256.64,296.82,280.44,289.4,395.01
"BayernMunich",NA,NA,NA,NA,NA,154.35,150.28,200.63,215.01,254.93,256.05,302.04,366.57,435.58,507.76,547.65,535.86,538.79
"Freiburg",NA,NA,0,NA,NA,0,0,0,0,28.42,38.52,51.66,40.91,59.96,51.21,0,36.23,69.46
"Hamburg",NA,NA,NA,NA,NA,66.24,104.78,85.28,99.27,131.33,119,92.88,99.54,100.53,103.46,66.67,85.48,66.29
"Kaiserslautern",NA,NA,NA,NA,NA,20.9,0,0,0,0,33.5,45.05,0,0,0,0,0,0
"Leverkusen",NA,NA,NA,NA,NA,72.56,56.77,60.94,87.93,98.15,131.99,135.99,104.31,127.67,149.9,180.68,220.12,197.91
"WerderBremen",NA,NA,NA,NA,NA,84.42,115.81,116.12,128.21,120.6,131.9,112.82,71.28,67.01,52.72,53.55,67.57,66.78
"EinFrankfurt",NA,0,0,NA,0,23.04,46.64,48.76,56.75,55.8,50.94,0,46.08,76.43,66.58,78.75,59.49,75.42
"Schalke04",NA,NA,NA,NA,NA,79.11,78.68,96.21,115.2,102.2,125.69,123.05,153.9,168.26,192.04,188.42,214.88,150.57
"Cottbus",NA,NA,NA,0,0,0,15.77,19.13,26.51,0,0,0,0,0,0,0,0,0
"Munich1860",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bochum",NA,0,NA,NA,NA,0,27.77,35.15,41.22,40.1,0,0,0,0,0,0,0,0
"Hertha",NA,NA,NA,NA,NA,62.69,52.09,43.83,67.32,68.49,0,45.32,0,41.36,68.83,65.59,68.38,86.36
"Stuttgart",NA,NA,NA,NA,NA,71.69,58.16,104.22,84.06,112.5,95.99,91.69,91.82,90.88,88.11,74.34,0,64.04
"Unterhaching",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wolfsburg",NA,NA,NA,NA,NA,59.45,57.65,51.71,76.1,140.29,189.65,109.8,108.29,121.25,158.51,238.88,202.82,134.1
"FCKoln",NA,NA,0,NA,0,43.94,0,0,30.74,65,56.23,62.36,0,0,38.99,46.85,69.66,99.14
"HansaRostock",NA,NA,NA,NA,NA,0,0,21.56,0,0,0,0,0,0,0,0,0,0
"M'gladbach",0,NA,NA,NA,NA,45.23,43.52,0,36.23,41.22,62.37,53.17,72.9,85.3,96.59,125.6,140.22,142.99
"StPauli",0,NA,0,0,0,0,0,0,0,0,26.91,0,0,0,0,0,0,0
"Nurnberg",0,NA,NA,0,NA,33.53,44.24,63.86,0,37.87,35.08,38.86,38.39,43.99,0,0,0,0
"Bielefeld",0,0,NA,0,NA,19.53,27.5,30.65,27,0,0,0,0,0,0,0,0,0
"Hannover",0,0,NA,NA,NA,39.6,36.32,55.31,58.91,60.19,40.16,61.97,79.2,75.2,70.25,66.22,0,48.6
"Mainz",0,0,0,0,NA,13.68,32.27,0,0,36.41,41,49.59,45.86,40.86,69.21,60.8,77.13,65.57
"Duisburg",0,0,0,0,0,20.25,0,30.27,0,0,0,0,0,0,0,0,0,0
"Aachen",0,0,0,0,0,0,21.56,0,0,0,0,0,0,0,0,0,0,0
"Karlsruhe",0,0,0,0,0,0,0,24.75,34.97,0,0,0,0,0,0,0,0,0
"Hoffenheim",0,0,0,0,0,0,0,0,39.78,81.56,88.52,84.24,76.52,69.37,90.02,100.26,68.9,116.46
"Augsburg",0,0,0,0,0,0,0,0,0,0,0,31.48,42.3,39.15,38.18,56.25,62.1,55.24
"GreutherFurth",0,0,0,0,0,0,0,0,0,0,0,0,30.67,0,0,0,0,0
"FortunaDusseldorf",0,0,0,0,0,0,0,0,0,0,0,0,28.58,0,0,0,0,0
"Braunschweig",0,0,0,0,0,0,0,0,0,0,0,0,0,26.64,0,0,0,0
"Paderborn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.21,0,0,0
"Darmstadt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.82,29.54,0
"Ingolstadt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.94,33.01,0
"RBLeipzig",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.26,230.92
