"","season","team","name","MV"
"1","20062007","BayernMunich","Oliver Kahn",4050000
"2","20062007","BayernMunich","Michael Rensing",9e+05
"3","20062007","BayernMunich","Thomas Kraft",45000
"4","20062007","BayernMunich","Bernd Dreher",23000
"5","20062007","BayernMunich","Lúcio",19350000
"6","20062007","BayernMunich","Daniel Van Buyten",12600000
"7","20062007","BayernMunich","Martín Demichelis",8100000
"8","20062007","BayernMunich","Valérien Ismaël",7200000
"9","20062007","BayernMunich","Christian Saba",270000
"10","20062007","BayernMunich","Mats Hummels",45000
"11","20062007","BayernMunich","Willy Sagnol",12150000
"12","20062007","BayernMunich","Philipp Lahm",6750000
"13","20062007","BayernMunich","Andreas Görlitz",1350000
"14","20062007","BayernMunich","Christian Lell",9e+05
"15","20062007","BayernMunich","Mark van Bommel",10800000
"16","20062007","BayernMunich","Owen Hargreaves",7200000
"17","20062007","BayernMunich","Andreas Ottl",540000
"18","20062007","BayernMunich","Stephan Fürstner",180000
"19","20062007","BayernMunich","Bastian Schweinsteiger",7200000
"20","20062007","BayernMunich","Julio dos Santos",2250000
"21","20062007","BayernMunich","Louis Ngwat-Mahop",0
"22","20062007","BayernMunich","Hasan Salihamidzic",4950000
"23","20062007","BayernMunich","Sebastian Deisler",4500000
"24","20062007","BayernMunich","Ali Karimi",3600000
"25","20062007","BayernMunich","Mehmet Scholl",1130000
"26","20062007","BayernMunich","Roy Makaay",11700000
"27","20062007","BayernMunich","Lukas Podolski",10800000
"28","20062007","BayernMunich","Claudio Pizarro",9450000
"29","20062007","BayernMunich","Roque Santa Cruz",2250000
"30","20062007","BayernMunich","Stefan Maierhofer",68000
"31","20062007","WerderBremen","Tim Wiese",4050000
"32","20062007","WerderBremen","Andreas Reinke",585000
"33","20062007","WerderBremen","Kasper Jensen",270000
"34","20062007","WerderBremen","Christian Vander",270000
"35","20062007","WerderBremen","Per Mertesacker",6750000
"36","20062007","WerderBremen","Petri Pasanen",4500000
"37","20062007","WerderBremen","Naldo",4500000
"38","20062007","WerderBremen","Frank Fahrenhorst",2930000
"39","20062007","WerderBremen","Christian Schulz",2700000
"40","20062007","WerderBremen","Peter Niemeyer",1800000
"41","20062007","WerderBremen","Florian Mohr",158000
"42","20062007","WerderBremen","Pierre Womé",4500000
"43","20062007","WerderBremen","Patrick Owomoyela",3600000
"44","20062007","WerderBremen","Jérôme Polenz",225000
"45","20062007","WerderBremen","Sebastian Schachten",135000
"46","20062007","WerderBremen","Torsten Frings",9e+06
"47","20062007","WerderBremen","Frank Baumann",3600000
"48","20062007","WerderBremen","Jurica Vranjes",2250000
"49","20062007","WerderBremen","Tim Borowski",9900000
"50","20062007","WerderBremen","Daniel Jensen",2700000
"51","20062007","WerderBremen","Clemens Fritz",2250000
"52","20062007","WerderBremen","Leon Andreasen",2070000
"53","20062007","WerderBremen","Amaury Bischoff",158000
"54","20062007","WerderBremen","Diego",7200000
"55","20062007","WerderBremen","Aaron Hunt",9e+05
"56","20062007","WerderBremen","Kevin Artmann",113000
"57","20062007","WerderBremen","Kevin Schindler",0
"58","20062007","WerderBremen","Mohamed Zidan",3420000
"59","20062007","WerderBremen","Miroslav Klose",1.8e+07
"60","20062007","WerderBremen","Ivan Klasnic",10800000
"61","20062007","WerderBremen","Markus Rosenberg",4050000
"62","20062007","WerderBremen","Hugo Almeida",2250000
"63","20062007","WerderBremen","Martin Harnik",180000
"64","20062007","Hamburg","Frank Rost",4500000
"65","20062007","Hamburg","Sascha Kirschstein",2030000
"66","20062007","Hamburg","Stefan Wächter",1350000
"67","20062007","Hamburg","Wolfgang Hesl",68000
"68","20062007","Hamburg","Vincent Kompany",12150000
"69","20062007","Hamburg","Joris Mathijsen",5400000
"70","20062007","Hamburg","Bastian Reinhardt",1620000
"71","20062007","Hamburg","Mathias Abel",1350000
"72","20062007","Hamburg","René Klingbeil",720000
"73","20062007","Hamburg","Markus Karl",225000
"74","20062007","Hamburg","Sasan Gouhari",45000
"75","20062007","Hamburg","Thimothée Atouba",6300000
"76","20062007","Hamburg","Juan Pablo Sorín",4950000
"77","20062007","Hamburg","Guy Demel",4280000
"78","20062007","Hamburg","Volker Schmidt",135000
"79","20062007","Hamburg","David Jarolím",5850000
"80","20062007","Hamburg","Raphael Wicky",3150000
"81","20062007","Hamburg","Nigel de Jong",3150000
"82","20062007","Hamburg","Collin Benjamin",720000
"83","20062007","Hamburg","Benny Feilhaber",225000
"84","20062007","Hamburg","Oliver Hampel",180000
"85","20062007","Hamburg","Mehdi Mahdavikia",5850000
"86","20062007","Hamburg","Alexander Laas",315000
"87","20062007","Hamburg","Mario Fillinger",180000
"88","20062007","Hamburg","Rafael van der Vaart",18900000
"89","20062007","Hamburg","Piotr Trochowski",3380000
"90","20062007","Hamburg","Änis Ben-Hatira",90000
"91","20062007","Hamburg","Sidney Sam",0
"92","20062007","Hamburg","Ivica Olic",4730000
"93","20062007","Hamburg","Boubacar Sanogo",3600000
"94","20062007","Hamburg","Danijel Ljuboja",3380000
"95","20062007","Hamburg","Paolo Guerrero",2700000
"96","20062007","Hamburg","Benjamin Lauth",2700000
"97","20062007","Hamburg","Besart Berisha",540000
"98","20062007","Hamburg","Massimo Cannizzaro",225000
"99","20062007","Hamburg","Rouwen Hennings",45000
"100","20062007","Schalke04","Frank Rost",4500000
"101","20062007","Schalke04","Manuel Neuer",135000
"102","20062007","Schalke04","Dennis Lamczyk",90000
"103","20062007","Schalke04","Toni Tapalovic",90000
"104","20062007","Schalke04","Ralf Fährmann",0
"105","20062007","Schalke04","Marcelo Bordon",9e+06
"106","20062007","Schalke04","Mladen Krstajic",4500000
"107","20062007","Schalke04","Mathias Abel",1350000
"108","20062007","Schalke04","Tim Hoogland",180000
"109","20062007","Schalke04","Benedikt Höwedes",0
"110","20062007","Schalke04","Darío Rodríguez",2160000
"111","20062007","Schalke04","Christian Pander",1080000
"112","20062007","Schalke04","Sebastian Boenisch",45000
"113","20062007","Schalke04","Rafinha",5850000
"114","20062007","Schalke04","Timo Kunert",45000
"115","20062007","Schalke04","Fabian Ernst",4050000
"116","20062007","Schalke04","Zlatan Bajramovic",3600000
"117","20062007","Schalke04","Markus Heppke",90000
"118","20062007","Schalke04","Hamit Altintop",3600000
"119","20062007","Schalke04","Gustavo Varela",1800000
"120","20062007","Schalke04","Levan Kobiashvili",5850000
"121","20062007","Schalke04","Lincoln",7650000
"122","20062007","Schalke04","Halil Altintop",6750000
"123","20062007","Schalke04","Alexander Baumjohann",90000
"124","20062007","Schalke04","Mesut Özil",68000
"125","20062007","Schalke04","Kevin Kuranyi",4950000
"126","20062007","Schalke04","Gerald Asamoah",4500000
"127","20062007","Schalke04","Sören Larsen",3600000
"128","20062007","Schalke04","Peter Lövenkrands",3060000
"129","20062007","Schalke04","Christian Erwig",0
"130","20062007","Dortmund","Roman Weidenfeller",6750000
"131","20062007","Dortmund","Sören Pirson",180000
"132","20062007","Dortmund","Bernd Meier",135000
"133","20062007","Dortmund","Christoph Metzelder",3600000
"134","20062007","Dortmund","Christian Wörns",2250000
"135","20062007","Dortmund","Markus Brzenska",1620000
"136","20062007","Dortmund","Martin Amedick",675000
"137","20062007","Dortmund","Uwe Hünemeier",225000
"138","20062007","Dortmund","Marc Heitmeier",90000
"139","20062007","Dortmund","Daniel Gordon",45000
"140","20062007","Dortmund","Dedê",6300000
"141","20062007","Dortmund","David Vrzogic",90000
"142","20062007","Dortmund","Patrick Kohlmann",0
"143","20062007","Dortmund","Philipp Degen",3150000
"144","20062007","Dortmund","Sebastian Kehl",7200000
"145","20062007","Dortmund","Nuri Sahin",4050000
"146","20062007","Dortmund","Kosi Saka",180000
"147","20062007","Dortmund","Florian Kringe",3150000
"148","20062007","Dortmund","Tinga",2700000
"149","20062007","Dortmund","Marc-André Kruska",990000
"150","20062007","Dortmund","Sebastian Tyrala",90000
"151","20062007","Dortmund","Mehmet Akgün",45000
"152","20062007","Dortmund","Nico Hillenbrand",0
"153","20062007","Dortmund","Abdenour Amachaibou",45000
"154","20062007","Dortmund","Lars Ricken",2250000
"155","20062007","Dortmund","Steven Pienaar",3150000
"156","20062007","Dortmund","David Odonkor",3150000
"157","20062007","Dortmund","Sahr Senesie",450000
"158","20062007","Dortmund","Alex Frei",9e+06
"159","20062007","Dortmund","Nelson Valdez",4500000
"160","20062007","Dortmund","Ebi Smolarek",3600000
"161","20062007","Dortmund","Matthew Amoah",1800000
"162","20062007","Stuttgart","Timo Hildebrand",6750000
"163","20062007","Stuttgart","Dirk Heinen",270000
"164","20062007","Stuttgart","Michael Langer",135000
"165","20062007","Stuttgart","Alexander Stolz",45000
"166","20062007","Stuttgart","Timo Hammel",0
"167","20062007","Stuttgart","Fernando Meira",8100000
"168","20062007","Stuttgart","Matthieu Delpierre",3150000
"169","20062007","Stuttgart","Markus Babbel",9e+05
"170","20062007","Stuttgart","Serdar Tasci",68000
"171","20062007","Stuttgart","Tobias Feisthammel",0
"172","20062007","Stuttgart","Ludovic Magnin",2340000
"173","20062007","Stuttgart","Arthur Boka",2120000
"174","20062007","Stuttgart","Heiko Gerber",270000
"175","20062007","Stuttgart","Ricardo Osorio",2700000
"176","20062007","Stuttgart","Roberto Hilbert",1350000
"177","20062007","Stuttgart","Andreas Beck",450000
"178","20062007","Stuttgart","Pável Pardo",1800000
"179","20062007","Stuttgart","Silvio Meißner",1170000
"180","20062007","Stuttgart","Bernd Nehrig",315000
"181","20062007","Stuttgart","José-Alex Ikeng",0
"182","20062007","Stuttgart","Thomas Hitzlsperger",2250000
"183","20062007","Stuttgart","Alexander Farnerud",1800000
"184","20062007","Stuttgart","Christian Gentner",1800000
"185","20062007","Stuttgart","Tobias Weis",90000
"186","20062007","Stuttgart","Sami Khedira",0
"187","20062007","Stuttgart","Daniel Bierofka",1350000
"188","20062007","Stuttgart","Antônio da Silva",3600000
"189","20062007","Stuttgart","Jon Dahl Tomasson",7200000
"190","20062007","Stuttgart","Benjamin Lauth",2700000
"191","20062007","Stuttgart","Marco Streller",2250000
"192","20062007","Stuttgart","Mario Gómez",1620000
"193","20062007","Stuttgart","Cacau",1580000
"194","20062007","Wolfsburg","Simon Jentzsch",3380000
"195","20062007","Wolfsburg","André Lenz",315000
"196","20062007","Wolfsburg","Patrick Platins",90000
"197","20062007","Wolfsburg","Kevin Hofland",4050000
"198","20062007","Wolfsburg","Facundo Quiroga",2250000
"199","20062007","Wolfsburg","Alexander Madlung",1260000
"200","20062007","Wolfsburg","Uwe Möhrle",9e+05
"201","20062007","Wolfsburg","Steve Müller",0
"202","20062007","Wolfsburg","Peter Van der Heyden",2250000
"203","20062007","Wolfsburg","Hans Sarpei",9e+05
"204","20062007","Wolfsburg","Michael Stegmayer",225000
"205","20062007","Wolfsburg","Alex Costa",1800000
"206","20062007","Wolfsburg","Christopher Lamprecht",450000
"207","20062007","Wolfsburg","Pablo Thiam",1800000
"208","20062007","Wolfsburg","Tom van der Leegte",1580000
"209","20062007","Wolfsburg","Marian Hristov",1350000
"210","20062007","Wolfsburg","Jonathan Santana",4050000
"211","20062007","Wolfsburg","Miroslav Karhan",2250000
"212","20062007","Wolfsburg","Julio dos Santos",2250000
"213","20062007","Wolfsburg","Cédric Makiadi",360000
"214","20062007","Wolfsburg","Sergej Evljuskin",0
"215","20062007","Wolfsburg","Jacek Krzynowek",2930000
"216","20062007","Wolfsburg","Marcelinho Paraíba",9e+06
"217","20062007","Wolfsburg","Emre Öztürk",0
"218","20062007","Wolfsburg","Juan Carlos Menseguez",2700000
"219","20062007","Wolfsburg","Diego Klimowicz",4500000
"220","20062007","Wolfsburg","Mike Hanke",3150000
"221","20062007","Wolfsburg","Isaac Boakye",2520000
"222","20062007","Wolfsburg","Rick Hoogendorp",1350000
"223","20062007","Wolfsburg","Kamani Hill",0
"224","20062007","Leverkusen","Hans Jörg Butt",2250000
"225","20062007","Leverkusen","René Adler",765000
"226","20062007","Leverkusen","Benedikt Fernandez",45000
"227","20062007","Leverkusen","Erik Domaschke",0
"228","20062007","Leverkusen","Juan",6300000
"229","20062007","Leverkusen","Roque Júnior",3600000
"230","20062007","Leverkusen","Karim Haggui",3600000
"231","20062007","Leverkusen","Fredrik Stenman",1800000
"232","20062007","Leverkusen","Ahmed Madouni",9e+05
"233","20062007","Leverkusen","Jan-Ingwer Callsen-Bracker",360000
"234","20062007","Leverkusen","Thomas Hübener",158000
"235","20062007","Leverkusen","Assimiou Touré",135000
"236","20062007","Leverkusen","Alexander Meyer",630000
"237","20062007","Leverkusen","Simon Rolfes",3600000
"238","20062007","Leverkusen","Carsten Ramelow",1580000
"239","20062007","Leverkusen","Pirmin Schwegler",1350000
"240","20062007","Leverkusen","Ali Camdali",135000
"241","20062007","Leverkusen","Gonzalo Castro",1130000
"242","20062007","Leverkusen","Pierre De Wit",135000
"243","20062007","Leverkusen","Paul Freier",3150000
"244","20062007","Leverkusen","Bernd Schneider",2880000
"245","20062007","Leverkusen","Marko Babic",2250000
"246","20062007","Leverkusen","Athirson",1580000
"247","20062007","Leverkusen","Tranquillo Barnetta",4950000
"248","20062007","Leverkusen","Andriy Voronin",4950000
"249","20062007","Leverkusen","Sergej Barbarez",2700000
"250","20062007","Leverkusen","Stefan Kießling",4500000
"251","20062007","Leverkusen","Michal Papadopulos",1350000
"252","20062007","Hertha","Christian Fiedler",3600000
"253","20062007","Hertha","Kevin Stuhr Ellegaard",360000
"254","20062007","Hertha","Nico Pellatz",90000
"255","20062007","Hertha","Josip Simunic",7200000
"256","20062007","Hertha","Arne Friedrich",6750000
"257","20062007","Hertha","Dick van Burik",1800000
"258","20062007","Hertha","Christopher Samba",450000
"259","20062007","Hertha","Robert Müller",158000
"260","20062007","Hertha","Amadeus Wallschläger",90000
"261","20062007","Hertha","Jérôme Boateng",90000
"262","20062007","Hertha","Christopher Schorch",0
"263","20062007","Hertha","Dennis Cagara",540000
"264","20062007","Hertha","Sofian Chahed",540000
"265","20062007","Hertha","Mineiro",2700000
"266","20062007","Hertha","Pál Dárdai",1130000
"267","20062007","Hertha","Andreas Schmidt",225000
"268","20062007","Hertha","Gilberto",3600000
"269","20062007","Hertha","Kevin-Prince Boateng",3150000
"270","20062007","Hertha","Malik Fathi",2700000
"271","20062007","Hertha","Zecke",810000
"272","20062007","Hertha","Ante Covic",113000
"273","20062007","Hertha","Yildiray Bastürk",9e+06
"274","20062007","Hertha","Christian Müller",450000
"275","20062007","Hertha","Ellery Cairo",1350000
"276","20062007","Hertha","Ashkan Dejagah",360000
"277","20062007","Hertha","Patrick Ebert",135000
"278","20062007","Hertha","Chinedu Ede",135000
"279","20062007","Hertha","Marko Pantelic",3420000
"280","20062007","Hertha","Christian Giménez",9e+05
"281","20062007","Hertha","Solomon Okoronkwo",360000
"282","20062007","Hertha","Srdjan Lakic",0
"283","20062007","EinFrankfurt","Oka Nikolov",1800000
"284","20062007","EinFrankfurt","Markus Pröll",720000
"285","20062007","EinFrankfurt","Jan Zimmermann",135000
"286","20062007","EinFrankfurt","Pablo Álvarez",0
"287","20062007","EinFrankfurt","Sotiris Kyrgiakos",6300000
"288","20062007","EinFrankfurt","Aleksandar Vasoski",3600000
"289","20062007","EinFrankfurt","Chris",3150000
"290","20062007","EinFrankfurt","Marco Russ",540000
